fa_name,catchment_hectares,tp_load,tn_load,tss_load,tp_load_ps,tn_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem,cluster,huc12
Mill Creek Trib,1386.2165,1423.8238999999999,21486.4038,609598.326,0.0,0.0,0.0,0.0,0.0,-2176.3118550000013,994.0967849999997,-670988.4766999999,-2176.3118550000013,994.0967849999997,-670988.4766999999,Middle Schuylkill,020402030303
Kistler Creek,788.5845,670.443,9537.7357,265388.3296,0.0,0.0,0.0,0.0,0.0,-3923.401715000002,425.9818049999999,-463106.0315,-3923.401715000002,425.9818049999999,-463106.0315,Middle Schuylkill,020402030305
Northkill Creek,2.8783,1.9847,49.5792,3691.7607,0.0,0.0,0.0,0.0,0.0,0.44661900000000115,1.092427,1032.7871599999999,0.44661900000000115,1.092427,1032.7871599999999,Middle Schuylkill,020402030405
Hosensack Creek,1571.1941,1799.3278999999998,16449.5755,1221084.1707,1.7299965314192,20.1299596401552,0.0,0.0,0.0,-10390.837746640154,1310.5277324685806,-230384.93887999986,-10390.837746640154,1310.5277324685806,-230384.93887999986,Middle Schuylkill,020402030801
Furnace Creek,573.3768,531.5819,9353.4093,356589.2353,3.3699932432848,2105.0357794790016,0.0,0.0,0.0,-2539.168455479002,350.4650987567152,-173096.25253999996,-2788.4161554790016,291.70249875671516,-175700.85354,Middle Schuylkill,020402030305
Manatawny Creek Trib,922.1257,2876.4146,17523.4022,1089952.5967,0.0,0.0,0.0,0.0,0.0,1782.7165009999985,2590.555633,238092.87504,1485.7583009999985,2512.017633,236871.11273999995,Middle Schuylkill,020402030501
Saucony Creek,2966.2969,8393.771,70646.7449,3575269.6629,1651.5866886281137,982.3680303874447,0.0,0.0,0.0,19029.688786612558,5822.632272371887,835004.5866800002,14837.25198661255,4038.2546723718856,832146.3541800001,Middle Schuylkill,020402030304
South Mill Creek V1,14.4824,45.3447,692.639,19655.3709,0.0,0.0,0.0,0.0,0.0,445.42443199999997,40.855156,6276.529780000003,445.42443199999997,40.855156,6276.529780000003,Middle Schuylkill,020402030401
Spring Creek Trib,769.2351,912.1202,15265.6009,312285.4186,0.0,0.0,0.0,0.0,0.0,2134.757743,673.6573189999999,-398333.96677999996,2042.3291430000002,633.440019,-414444.06198,Middle Schuylkill,020402030406
"Paulinskill (Bobcat Ally, Protection)",2.7878,2.5075,47.5332,1243.9377,0.0,0.0,0.0,0.0,0.0,-0.054545999999998214,1.643282,-1331.4319399999997,-0.054545999999998214,1.643282,-1331.4319399999997,New Jersey Highlands,020401050104
Paulinskill (Lakes Initiative),50.0002,17.3304,297.6905,13642.8877,0.0,0.0,0.0,0.0,0.0,-555.812914,1.8303380000000007,-32547.297059999997,-555.812914,1.8303380000000007,-32547.297059999997,New Jersey Highlands,020401050102
Paulinskill (Restoration Alley),446.2234,161.9849,1731.5712,98983.724,0.0,0.0,0.0,0.0,0.0,-5885.462238000001,23.65564600000001,-313237.45291999995,-5885.462238000001,23.65564600000001,-313237.45291999995,New Jersey Highlands,020401050103
Upper Mosconetcong River V2,9.8023,0.8245,15.7861,1676.2953,0.0,0.0,0.0,0.0,0.0,-151.539161,-2.214213,-7379.06944,-151.539161,-2.214213,-7379.06944,New Jersey Highlands,020401050502
Upper Musconetcong River V1,585.6177,71.3758,789.5142,192851.6095,0.0,0.0,0.0,0.0,0.0,-9206.979939,-110.16568699999999,-348142.02176,-9207.728339000001,-110.23208699999999,-348174.52015999996,New Jersey Highlands,020401050502
Upper Musconetcong River V2,672.6789,132.0493,3066.8053,262059.1906,0.0,0.0,0.0,0.0,0.0,-8415.823523000001,-76.481159,-359361.57722,-8415.823523000001,-76.481159,-359361.57722,New Jersey Highlands,020401050501
